Key,File,Type,UsedInMainMenu,NoTranslate,english,Context,japanese
letter_fox_trial_1,items,Quest,,,Fox Trial Letter I,,きつねの試練の手紙Ⅰ
letter_fox_trial_1Desc,items,Quest,,,This letter begins a support trial for the white fox.,,白いきつねの支援の試練が始まる手紙です。
letter_fox_trial_2,items,Quest,,,Fox Trial Letter II,,きつねの試練の手紙Ⅱ
letter_fox_trial_2Desc,items,Quest,,,This letter begins the second support trial for the white fox.,,白いきつねの支援の試練・第二段階が始まる手紙です。
letter_fox_trial_3,items,Quest,,,Fox Trial Letter III,,きつねの試練の手紙Ⅲ
letter_fox_trial_3Desc,items,Quest,,,This letter begins the third support trial for the white fox.,,白いきつねの支援の試練・第三段階が始まる手紙です。
letter_fox_trial_4,items,Quest,,,Fox Trial Letter IV,,きつねの試練の手紙Ⅳ
letter_fox_trial_4Desc,items,Quest,,,This letter begins the fourth support trial for the white fox.,,白いきつねの支援の試練・第四段階が始まる手紙です。
quest_fox_support_trial_1_title,quests,Quest,,,Fox Support Trial I,,きつねの支援試練 レベル1
quest_fox_support_trial_1_subtitle,quests,Quest,,,Face the snake trial!,,ヘビとの試練に挑もう!
quest_fox_support_trial_1Desc,quests,Quest,,,"Prove your courage by defeating one of the snakes summoned by the fox. Be careful—your companions may try to finish them off first.","","きつねが呼び出したヘビを倒して、勇気を示そう。仲間が先に討伐してしまわないよう注意してください。"
quest_fox_support_trial_1_offer,quests,Quest,,,The fox wants to see if you're ready. Can you face... snakes?,,きつねはあなたが支援を受ける準備ができているか試そうとしている。相手は…ヘビ。大丈夫?
buffFoxTrial1Complete,buffs,Name,,,,Fox Trial I Complete,試練I達成済み
buffFoxTrial1CompleteDesc,buffs,Description,,,,Used to track completion of Fox Trial I.,きつねの試練Ⅰの達成状況を記録します。
quest_fox_support_trial_2_title,quests,Quest,,,Fox Support Trial II,,きつねの支援試練 レベル2
quest_fox_support_trial_2_subtitle,quests,Quest,,,Face the zombie dog trial!,,ゾンビ犬との試練に挑もう!
quest_fox_support_trial_2Desc,quests,Quest,,,"This trial pits you against zombie dogs. Keep your companions from taking the kill. If you fall, the trial does not immediately fail—you can clear it by hunting down and defeating a wild zombie dog, or spend a ticket to retake the trial and summon another foe.","","今回の試練の相手はゾンビ犬です。仲間が先に討伐してしまわないよう注意してください。倒されても試練は即失敗にはなりません――野生のゾンビ犬を見つけて討伐するか、チケットを消費して試練を再受注(再出現)することができます。"
quest_fox_support_trial_2_offer,quests,Quest,,,The fox senses your growing strength. Are you ready for what comes next?,,きつねはあなたの成長を感じている。次の試練を受ける準備……できてるかな?
quest_fox_support_trial_3_title,quests,Quest,,,Fox Support Trial III,,きつねの支援試練 レベル3
quest_fox_support_trial_3_subtitle,quests,Quest,,,Face the zombie bear.,,ゾンビクマとの試練に挑もう!
quest_fox_support_trial_3Desc,quests,Quest,,,"This trial pits you against a powerful zombie bear. Keep your companions from taking the kill. If you are defeated, the trial doesn't immediately fail—you can clear it by hunting down and defeating a wild zombie bear, or spend a ticket to retake the trial and summon another foe. ","","今回の試練は、強大なゾンビクマが相手です。仲間が先に討伐してしまわないよう注意してください。倒されても試練は即失敗にはなりません――野生のゾンビクマを見つけて討伐するか、チケットを消費して試練を再受注(再出現)することができます。"
quest_fox_support_trial_3_offer,quests,Quest,,,The fox senses your growing resilience. A greater challenge awaits.,,きつねは、あなたのたくましさを感じ取っている。さらなる試練が、あなたを待っています。
quest_fox_support_trial_4_title,quests,Quest,,,Fox Support Trial IV,,きつねの支援試練 レベル4
quest_fox_support_trial_4_subtitle,quests,Quest,,,Defeat the fox guardian.,,きつねの守護者を打ち倒せ!
quest_fox_support_trial_4Desc,quests,Quest,,,"A formidable guardian fox spirit stands in your way. Keep your companions from taking the kill. If you are defeated, the trial doesn't immediately fail—you can clear it by hunting down and defeating a wild guardian fox spirit, or spend a ticket to retake the trial and summon another foe.","","あなたの前に立ちはだかるのは、きつねの強大な守護霊。この試練でも仲間が先に討伐してしまわないよう注意してください。倒されても試練は即失敗にはなりません――野生の守護霊を見つけて討伐するか、チケットを消費して試練を再受注(再出現)することができます。"
quest_fox_support_trial_4_offer,quests,Quest,,,The fox's spirit watches closely. Your final challenge is at hand.,,きつねの精霊が、あなたを静かに見守っている。最後の試練が、いま始まろうとしています。
quest_fox_support_trial_4_completion,quests,Quest,,,You have earned the guardian's trust. The fox's path is now yours.,,守護者の信頼を得て、あなたはきつねの道を受け継ぎました。
modFoxClawCharm,item_modifiers,Mod,,,"Fox Charm: Claw",,"フォックスチャーム:爪"
modFoxClawCharmDesc,item_modifiers,Mod,,,"A legendary fox claw charm. Socket into Hand Armor to activate its power.\nOn power attack,causes nearby enemies to bleed and shock.","","伝説のきつねの爪チャーム。手防具に装着すると力を解放する。\nパワーアタック時、周囲の敵に出血と電撃を与える。"
modFoxClawCharmEX,item_modifiers,Mod,,,"Fox Charm: Claw EX",,"フォックスチャーム:爪・改"
modFoxClawCharmEXDesc,item_modifiers,Mod,,,"An enhanced fox claw charm. Socket into Hand Armor to unleash its full potential.\nAny successful attack will cause nearby enemies to bleed and shock.\nAt night,the cooldown is halved.","","強化されたきつねの爪チャーム。手防具に装着すると真価を発揮する。\nあらゆる攻撃命中時に周囲の敵へ出血と電撃を与える。\n夜間はクールダウンが半分になる。"
buffFoxClawCooldownNightName,buffs,Buff,,,Fox Claw Night Cooldown,,きつねの爪 夜間クールダウン
buffFoxClawCooldownNightDesc,buffs,Buff,,,"Cooldown between activations,shortened during the night.","","夜間に発動する際の短縮クールダウン。"
buffFoxClawCooldownName,buffs,Buff,,,"Fox Claw Cooldown",,"きつねの爪 クールダウン"
buffFoxClawCooldownDesc,buffs,Buff,,,"The claw cannot activate again until the cooldown ends.",,"クールダウンが終了するまで、きつねの爪は再び発動できない。"
buffFoxClawBleedName,buffs,Buff,,,"Fox Claw Bleed",,"きつねの爪 出血"
dialog_fox_greeting,Dialogue,Fox,,,"There you are.",,"やあ"
dialog_fox_followme,Dialogue,Fox,,,Follow Me,,ついてきて!
dialog_fox_pickup,Dialogue,Fox,,,Hop in!,,バッグに入って!
dialog_fox_pickup_ref,Dialogue,Fox,,,Let's head home!,,帰ろうか!
dialog_fox_showpack,Dialogue,Fox,,,What's in your pack?,,なに持ってる?
dialog_fox_stayhere,Dialogue,Fox,,,Stay right there,,ここで待ってて
dialog_fox_guardhere,Dialogue,Fox,,,Stay over here,,この辺見張ってて
dialog_fox_wander,Dialogue,Fox,,,Go play around here,,ちょっと遊んできて
dialog_fox_loot,Dialogue,Fox,,,Loot around here,,アイテム拾ってきて
dialog_fox_dismiss,Dialogue,Fox,,,Abandon,,自由にしてあげるね
dialog_fox_hire,Dialogue,Fox,,,"'You've come far… Shall we walk together from here?'",,"「ここまで来たんだね…これからは一緒に歩こうか?」"
dialog_fox_menu_trials,dialog,Fox,,,"Tell me about the fox trials.",,きつねの試練について教えて
dialog_fox_start_trial_1,dialog,Fox,,,"I want to begin the first fox trial.",,最初のきつねの試練に挑戦したい
dialog_fox_confirm_start_trial_1,dialog,Fox,,,"'This trial will summon five snakes.They're sneaky—watch your step!Ready to begin?'",,「この試練ではヘビが5体現れるよ。見えにくいから足元には注意してね!準備はいい?」
dialog_fox_start_confirm,dialog,Fox,,,"Yeah,I'm ready. Let's do this!",,うん、準備できてるよ。行こう!
dialog_fox_trial2_entry,dialog,Fox,,,"I want to take the second fox trial.",,2つ目のきつねの試練に挑戦したい
dialog_fox_trial2_require_info,dialog,Fox,,,"Could you remind me what the second trial needs?",,2つ目の試練に何が必要か教えてくれる?
dialog_fox_trial2_explain,dialog,Fox,,,"'To take on the second trial,you'll need 10 Support Tickets.Once you've got them,I'll set things up for you!'",,「2つ目の試練に挑戦するには、サポートチケットが10枚必要だよ。そろったら声をかけてね!」
dialog_fox_trial2_entry_text,dialog,Fox,,,"Let's see if I'm ready...",,挑戦できるかな…
dialog_fox_start_trial_2,dialog,Fox,,,"I'm ready. Let's start the second fox trial! (Needs 10 Support Tickets)",,準備はできてる。2つ目のきつねの試練、始めよう!(チケット10枚必要)
dialog_fox_confirm_start_trial_2,dialog,Fox,,,"'This trial will pit you against two zombie dogs.They're fast,so stay alert!Use 10 Support Tickets to begin?'",,「今回の試練ではゾンビ犬2体と戦うことになるよ。すばやいから気をつけてね!チケット10枚で始める?」
dialog_fox_trial3_entry,dialog,Fox,,,"I want to take the third fox trial.",,"3つ目のきつねの試練に挑戦したい"
dialog_fox_trial3_entry_text,dialog,Fox,,,"Let's see if I'm ready for the next challenge...",,"次の挑戦、できるかな…"
dialog_fox_trial3_require_info,dialog,Fox,,,"What do I need for the third trial?",,"3つ目の試練に必要なもの教えて?"
dialog_fox_trial3_explain,dialog,Fox,,,"'To take on the third trial,you'll need 20 Support Tickets.Once you've got them,let me know!'",,"「3つ目の試練には、サポートチケットが20枚必要だよ。そろったら声をかけてね!」"
dialog_fox_start_trial_3,dialog,Fox,,,"I'm ready. Let's start the third fox trial! (Needs 20 Support Tickets)",,"準備できたよ。3つ目のきつねの試練、始めよう!(チケット20枚必要)"
dialog_fox_confirm_start_trial_3,dialog,Fox,,,"'This time,you'll face a zombie bear.It's tough,so be on your guard!Use 20 Support Tickets to begin?'",,"「今回の試練ではゾンビベアと戦うことになるよ。かなり手強いから気をつけてね!チケット20枚で始める?」"
dialog_fox_trial4_entry,dialog,Fox,,,"I want to take the final fox trial.",,"最後のきつねの試練に挑戦したい"
dialog_fox_trial4_entry_text,dialog,Fox,,,"Can I handle the final challenge…?",,"最後の挑戦…乗り越えられるかな?"
dialog_fox_trial4_require_info,dialog,Fox,,,"What do I need for the final trial?",,"最後の試練には何が必要なの?"
dialog_fox_trial4_explain,dialog,Fox,,,"'You'll need 30 Support Tickets for the last fox trial.Let me know when you're ready!'",,"「最後のきつねの試練には、試練チケットが30枚必要だよ。準備ができたら教えてね!」"
dialog_fox_start_trial_4,dialog,Fox,,,"I'm ready. Let's begin the final fox trial! (Needs 30 Support Tickets)",,"準備万端だよ。最後のきつねの試練、始めよう!(チケット30枚必要)"
dialog_fox_confirm_start_trial_4,dialog,Fox,,,"'This time,your opponent is the guardian beast.It's fierce and relentless—be ready.Shall we begin with 30 Tickets?'",,"「今回の相手は守護の獣。凶暴で容赦ないよ。覚悟はできてる?チケット30枚で始める?」"
dialog_fox_menu_explain,Dialogue,Fox,,,Tell me more about your support.,,君の支援について詳しく教えて
dialog_fox_menu_support,dialog,Fox,,,"Tell me about the support you offer.",,君の支援について教えてほしい
dialog_fox_explain_support1,Dialogue,Fox,,,Support Level 1 Effects,,支援レベル1の効果
dialog_fox_support1_text,Dialogue,Fox,,,"'You'll move faster,get tired slower,and take less damage.And gain access to new allies.'",,"「移動が速くなり、スタミナ消費が減って、ダメージも軽減されるよ。新しい仲間とも出会えるようになるよ。」"
dialog_fox_explain_support2,Dialogue,Fox,,,Support Level 2 Effects,,支援レベル2の効果
dialog_fox_support2_text,Dialogue,Fox,,,"'You'll also recover health and stamina over time.'",,"「前より体力やスタミナが少しずつ回復していくよ」"
dialog_fox_explain_support3,Dialogue,Fox,,,Support Level 3 Effects,,支援レベル3の効果
dialog_fox_support3_text,Dialogue,Fox,,,"'You'll find more loot,craft faster,your tools last longer.'",,"「アイテムが見つかりやすくなって、クラフトも早くなるし、道具も長持ちするようになるよ。」"
dialog_fox_explain_support4,Dialogue,Fox,,,Support Level 4 Effects,,支援レベル4の効果
dialog_fox_support4_text,Dialogue,Fox,,,"'At night,your attacks grow stronger,and you'll gain more experience overall.'",,"「夜になると攻撃力が上がって、経験値の取得量も増えるよ。」"
dialog_fox_hint_root,Dialogue,Fox,,,'What do you want to know about?',,「何について知りたい?」
dialog_fox_hint_root_text,Dialogue,Fox,,,'I've gathered some useful tips. Take your pick!',,「役に立ちそうな情報をいくつか持ってるよ。気になるものを選んで!」
dialog_fox_hint_rare_enemy,Dialogue,Fox,,,Special enemies,,特別な敵
dialog_fox_hint_poison_zombie,Dialogue,Fox,,,Poison zombies,,毒持ちゾンビ
dialog_fox_hint_ticket,Dialogue,Fox,,,Support Tickets,,サポートチケット
dialog_fox_enemy_hint_text,Dialogue,Fox,,,"'They say strange creatures walk the wastelands after dark… though you might glimpse them elsewhere too.'",,"「夜の荒地では、奇妙な獣たちが歩いているらしいよ……他の場所でも、まれに見かけることはあるかもしれないね。」"
dialog_fox_hint_poison_zombie_text,Dialogue,Fox,,,"'Some zombies are surrounded by a green mist at night. If they hit you,you'll be poisoned. It's best to sneak around them.'",,"「夜になると、手に緑色のもやをまとったゾンビが現れるよ。殴られると毒状態になるから、見かけたらそっと避けるのが吉だね。」"
dialog_fox_hint_ticket_text,Dialogue,Fox,,,"'You might earn special Support tickets by completing trader quests. '",,"「トレーダーのクエストをこなすと、特別な『サポートチケット』が手に入るよ。」"
dialog_fox_menu_support_explain,Dialogue,Fox,,,I want to know about your support.,,君の支援について知りたい
# ===== 料理人関連 =====,,,,,,,
npcCookChicken,entityclasses,Entity Name,,,Coco,,Coco
npcCookChickenName,entityclasses,Entity Name,,,Coco the Cook,,料理係Coco
chickenPickUpNPC,items,Item,,,Chicken Companion Totem,,Cocoを呼び出すお守り
chickenPickUpNPCDesc,items,Item,,,"A totem that lets you summon your cheerful chef,Coco.","","陽気な料理係・Cocoを呼び出せるお守り。"
letter_welcome_cook,items,Quest,,,Worn Letter - Cook,,古びた手紙 - 料理係
letter_welcome_cookDesc,items,Quest,,,A weathered letter with food stains. It smells faintly delicious.,,料理のしみがついた古い手紙。おいしそうな香りがする。
schematic_cook_letter,items,Item,,,Cook's Letter Craft Schematic,,料理係の手紙クラフト図面
schematic_cook_letterDesc,items,Item,,,Unlocks the recipe for the cook's welcome letter.,,料理係の仲間を呼ぶ手紙のクラフト方法を解放します。
quest_welcome_cook_title,quests,Quest,,,Welcome the Cook,,料理係の仲間入り
quest_welcome_cook_subtitle,quests,Quest,,,A task to welcome Coco,,Cocoを迎える準備
quest_welcome_cookDesc,quests,Quest,,,You've found a letter mentioning a culinary companion. Perhaps a tool of their trade will catch their attention.,,料理にまつわる仲間のことが書かれた手紙を見つけた。仕事道具を用意すれば呼び出せるかもしれない。
coco_summon_message,buffs,Buff,,,Coco has arrived to help you!,,Cocoが助けに来たよ!
coco_revive_message,buffs,Buff,,,Coco has risen from the grave... again.,,Cocoが墓から蘇った…ふたたび。
reviveStoneCoco,Blocks,Block,,,Coco's grave marker.,,Cocoの墓標
cookSummonItem,items,Quest,,,Letter of Summoning - Cook,,料理係を召喚する手紙
desc_cookSummonItem,items,Quest,,,Read this to summon your culinary companion. Talk to them when they appear.,,これを読んで現れた料理係に話しかけてみよう。
letter_specialbirdnest,items,Quest,,,A Request from Coco,,Cocoからのお願い
letter_specialbirdnestDesc,items,Quest,,,A note from Coco about gathering materials to build a new nest. It smells faintly of feathers.,,Cocoからのお願い。新しい巣を作るための素材について書かれている。ほんのり羽のにおいがする。
letter_soupstove,items,Quest,,,A Request from Coco,,Cocoからのお願い
letter_soupstoveDesc,items,Quest,,,A note from Coco about building a stove to prepare soup base. It smells faintly of spices.,,Cocoからのお願い。スープの素を作るためのコンロについて書かれている。ほのかにスパイスの香りがする。
letter_floursack,items,Quest,,,A Request from Coco,,Cocoからのお願い
letter_floursackDesc,items,Quest,,,A note from Coco about preparing a sack to produce precious flour. It smells faintly of bread.,,Cocoからのお願い。特製小麦粉を作る袋について書かれている。ふわっとパンのようなにおいがする。
letter_goldenfridge,items,Quest,,,A Request from Coco,,Cocoからのお願い
letter_goldenfridgeDesc,items,Quest,,,A note from Coco about crafting a golden fridge to make golden butter. It feels cool to the touch.,,Cocoからのお願い。黄金のバターを作る特製冷蔵庫について書かれている。触るとひんやり冷たい。
quest_specialbirdnest_title,quests,Quest,,,Special Bird Nest Request,,特別な巣づくりのお願い
quest_specialbirdnest_subtitle,quests,Quest,,,Could you help me gather materials for a special bird nest?,,特別なたまごが採れる巣を作るための材料、集めてもらえるかな?
quest_specialbirdnestDesc,quests,Quest,,,'Could you help me gather materials for a special bird nest?',,「特別なたまごが採れる巣を作るための材料、集めてもらえるかな?」
quest_specialbirdnest_offer,quests,Quest,,,'I'm planning to place a special nest to collect eggs. I need some help gathering materials.',,「たまごが採れる特別な巣を用意したいんだ。材料を集めるの、手伝ってくれる?」
quest_completion_specialbirdnest,quests,Quest,,,'Thanks! With this,you'll be able to place the nest and collect eggs from it. Here's the schematic.',「助かったよ!これで巣を置いて、たまごが採れるようになるはず。設計図、渡しておくね。」
quest_soupstove_title,quests,Quest,,,Soup Stove Request,,スープコンロのお願い
quest_soupstove_subtitle,quests,Quest,,,Could you help me gather materials for a soup stove?,,スープコンロを作るための材料を集めてもらえるかな?
quest_soupstoveDesc,quests,Quest,,,'Could you help me gather materials for a soup stove?',,「スープコンロを作るための材料を集めてもらえるかな?スープの素を作れるようになるよ!」
quest_soupstove_offer,quests,Quest,,,'I want to make a stove to prepare warm meals. It will produce soup base!',,「あたたかいスープを作るために、スープの素を作れるコンロを用意したいんだ。手伝ってくれる?」
quest_completion_soupstove,quests,Quest,,,'Thanks! With this,you'll be able to produce soup base. Here's the schematic.',「助かったよ!これでスープの素が作れるようになるよ。設計図、渡しておくね。」
quest_floursack_title,quests,Quest,,,Flour Sack Request,,小麦粉袋のお願い
quest_floursack_subtitle,quests,Quest,,,Could you help me gather materials for a flour sack?,,小麦粉袋を作るための材料を集めてもらえるかな?
quest_floursackDesc,quests,Quest,,,'Could you help me gather materials for a flour sack?',,「小麦粉袋を作るための材料を集めてもらえるかな?特製小麦粉が作れるようになるよ!」
quest_floursack_offer,quests,Quest,,,'We'll need flour for many dishes. This one makes precious flour!',,「いろんな料理に使う特製小麦粉が必要なんだ。ちゃんとした袋を作るために手伝って!」
quest_completion_floursack,quests,Quest,,,'Great! Now you can produce precious flour. Here's the schematic.',,「やったね!これで特製小麦粉が作れるようになるよ。設計図、渡しておくね。」
quest_goldenfridge_title,quests,Quest,,,Golden Fridge Request,,特製冷蔵庫のお願い
quest_goldenfridge_subtitle,quests,Quest,,,Could you help me gather materials for a golden fridge?,,特製冷蔵庫を作るための材料を集めてもらえるかな?
quest_goldenfridgeDesc,quests,Quest,,,'Could you help me gather materials for a golden fridge?',,「特製冷蔵庫を作るための材料を集めてもらえるかな?黄金のバターが作れるようになるよ!」
quest_goldenfridge_offer,quests,Quest,,,'I want to keep ingredients cool and make golden butter. Let's build a fridge!',,「食材を冷やして黄金のバターを作れる冷蔵庫を用意したいんだ。一緒に作ろう!」
quest_completion_goldenfridge,quests,Quest,,,'Thanks! Now you'll be able to make golden butter. Here's the schematic.',,「ありがとう!これで黄金のバターが作れるようになるよ。設計図を受け取ってね。」
dialog_coco_greeting,Dialogue,Coco,,,"Hey there.",,やあ
dialog_coco_followme,Dialogue,Coco,,,Follow Me,,ついてきて!
dialog_coco_pickup,Dialogue,Coco,,,Hop in!,,バッグに入って!
dialog_coco_pickup_ref,Dialogue,Coco,,,Let's head home!,,帰ろうか!
dialog_coco_showpack,Dialogue,Coco,,,What's in your pack?,,なに持ってる?
dialog_coco_stayhere,Dialogue,Coco,,,Stay right there,,ここで待ってて
dialog_coco_guardhere,Dialogue,Coco,,,Stay over here,,この辺見張ってて
dialog_coco_wander,Dialogue,Coco,,,Go play around here,,ちょっと遊んできて
dialog_coco_loot,Dialogue,Coco,,,Loot around here,,アイテム拾ってきて
dialog_coco_dismiss,Dialogue,Coco,,,Abandon,,自由にしてあげるね
dialog_coco_hire,Dialogue,Coco,,,"'You must be hungry. Let's cook something together!'","","「お腹すいたでしょ?いっしょに料理しようよ!」"
dialog_coco_request_kitchen,Dialog,Coco,,,"Let's work on the kitchen.","",キッチンのことをお願い
dialog_coco_kitchen_request,Dialog,Coco,,,"What would you like to ask for?","","何する?"
dialog_coco_requestfood,Dialog,Coco,,,"Cooking","","料理"
dialog_coco_quest_select,Dialog,Coco,,,"Equipment Quest","","設備クエスト"
dialog_coco_upgrade_select,Dialog,Coco,,,"Upgrade Equipment","","設備アップグレード"
dialog_coco_quest_birdnest,Dialog,Coco,,,"'I want to make a special nest that gives really good eggs. '","","「特別なたまごが採れる巣を作りたいんだ。」"
dialog_coco_confirm_start_kitchen1,Dialog,Coco,,,"'Let me explain what I need.'","","「必要なものを説明するね。」"
dialog_coco_start_confirm,Dialog,Coco,,,"Okay,I'll do it!","","わかった、やってみる!"
dialog_coco_quest_soupstove,Dialog,Coco,,,"'I want to make a stove for soup.'",,「スープ用のコンロを作りたいんだ。」
dialog_coco_confirm_start_kitchen2,Dialog,Coco,,,"'I'll tell you what I need.'",,「必要なもの、説明するね」
dialog_coco_quest_floursack,Dialog,Coco,,,"'If I had a flour sack,I could make much fluffier bread.'",,「小麦粉袋があれば、ふわふわのパンが作れるんだけど。」
dialog_coco_confirm_start_kitchen3,Dialog,Coco,,,"'Here's what we'll need.'",,「必要な材料を教えるね」
dialog_coco_quest_goldenfridge,Dialog,Coco,,,"'I've been dreaming of a golden fridge!'",,「ずっと黄金の冷蔵庫に憧れてたんだ!」
dialog_coco_confirm_start_kitchen4,Dialog,Coco,,,"'Let's make it shiny!'",,「ぴかぴかに仕上げよう!」
dialog_coco_grow_nest,Dialog,Coco,,,"Grow the Nest","",巣を育てる
dialog_coco_upgrade_soupstove,Dialog,Coco,,,"Upgrade the Stove","",コンロを強化する
dialog_coco_upgrade_floursack,Dialog,Coco,,,"Upgrade the Flour Sack","",小麦粉袋を強化する
dialog_coco_upgrade_goldenfridge,Dialog,Coco,,,"Upgrade the Fridge","",冷蔵庫を強化する
